Nombre;Puntuacion;Precio;Estrellas;Direccion
 Hostel Ikigai;5;N/A;2;Los Remedios, Seville ·  1.12 km from city centre
 Pension Perez Montilla;3.3;N/A;2;Historical Center, Seville ·  0.51 km from city centre
 Soho Boutique Catedral;4.7;€153;4;Historical Center, Seville ·  0.26 km from city centre
 Barceló Sevilla Renacimiento;4.3;N/A;5;Triana, Seville ·  2.69 km from city centre
 Futurotel Sevilla;N/A;N/A;3;Los Remedios, Seville ·  0.95 km from city centre
 Itaca Sevilla;4;€87;3;Historical Center, Seville ·  0.64 km from city centre
 Hostel One Catedral;4.6;N/A;2;Historical Center, Seville ·  0.18 km from city centre
 Hotel Alcazar;3.8;N/A;3;Sur, Seville ·  0.54 km from city centre
 TOC Hostel Sevilla;4.5;N/A;2;Historical Center, Seville ·  0.27 km from city centre
 Hotel Vincci Selección Unuk 5* GL;4.5;€189;5;Historical Center, Seville ·  0.61 km from city centre
 Pierre & Vacances Sevilla;4.1;€83;3;Triana, Seville ·  1.10 km from city centre
 Hotel Duquesa;3.3;N/A;2;Historical Center, Seville ·  0.87 km from city centre
 Hotel Inglaterra Sevilla;4.1;€121;4;Historical Center, Seville ·  0.46 km from city centre
 Rio Hostel;3.6;N/A;2;Historical Center, Seville ·  0.30 km from city centre
 Holiday Rentals Los Salados;4.2;N/A;4;Historical Center, Seville ·  1.19 km from city centre
 La Casa del Maestro Boutique;4;€80;1;Historical Center, Seville ·  0.76 km from city centre
 Pensión Javier;N/A;N/A;2;Historical Center, Seville ·  0.43 km from city centre
 La Flamenka Hostel;4.4;N/A;2;Historical Center, Seville ·  0.75 km from city centre
 Hotel Madrid Sevilla;4.1;N/A;1;Historical Center, Seville ·  0.94 km from city centre
 Vincci La Rabida;4.2;€147;4;Historical Center, Seville ·  0.49 km from city centre
 Urban Cube Hostel Sevilla;3.7;N/A;0;San Roque, Seville ·  0.99 km from city centre
 Hospes Las Casas Del Rey De Baeza;4.4;€162;4;Historical Center, Seville ·  0.76 km from city centre
 Hotel Baco Sevilla;3.5;N/A;2;Historical Center, Seville ·  0.86 km from city centre
 Hotel Alfonso XIII, a Luxury Collection Hotel, Seville;4.5;€403;5;Sur, Seville ·  0.47 km from city centre
 Becquer Hotel;4.5;N/A;4;Historical Center, Seville ·  0.79 km from city centre
 EME Catedral Mercer Hotel;3.9;N/A;5;Historical Center, Seville ·  0.10 km from city centre
 Casa Sevilla 1855 Suites by Época;4.8;N/A;4;Historical Center, Seville ·  0.66 km from city centre
 Colectia Parada del Marqués;4.8;€85;3;Historical Center, Seville ·  0.99 km from city centre
 Petit Palace Sevilla Canalejas;4.2;N/A;2;Historical Center, Seville ·  0.81 km from city centre
 Arc House Plaza;N/A;N/A;1;Historical Center, Seville ·  1.23 km from city centre
 Hotel Plaza;3.2;N/A;3;Historical Center, Seville ·  0.48 km from city centre
 Hotel Doña Blanca;3.7;N/A;2;Historical Center, Seville ·  0.91 km from city centre
 Le Petit Paris;3.7;N/A;3;Historical Center, Seville ·  0.92 km from city centre
 Hotel Cervantes;3.7;N/A;4;Historical Center, Seville ·  1.03 km from city centre
 Radisson Collection Hotel, Magdalena Plaza Sevilla;4.6;€238;5;Historical Center, Seville ·  0.69 km from city centre
 Bellavista Sevilla;3.8;N/A;4;Bellavista-La Palmera, Seville ·  7.78 km from city centre
 Hotel Derby Sevilla;4.1;N/A;3;Historical Center, Seville ·  0.86 km from city centre
 CoolRooms Palacio Villapanés 5 GL;4.7;€270;5;Historical Center, Seville ·  0.78 km from city centre
 Apartamentos Magna Sevilla;3.3;€106;3;Historical Center, Seville ·  1.05 km from city centre
 Hotel Ateneo Sevilla;4.7;€133;4;Historical Center, Seville ·  0.90 km from city centre
 Pension Catedral;3;N/A;2;Historical Center, Seville ·  0.61 km from city centre
 Micampus Rector Estanislao del Campo - Students Residence;N/A;N/A;3;Bellavista-La Palmera, Seville ·  3.53 km from city centre
 Holiday Rentals Tempa Museo;4.4;N/A;4;Historical Center, Seville ·  1.04 km from city centre
 La Central Sevilla;3.3;N/A;2;Historical Center, Seville ·  1.20 km from city centre
 Lux Sevilla Palacio;N/A;N/A;3;Este-Alcosa-Torreblanca, Seville ·  5.68 km from city centre
 Eurostars Guadalquivir;4.5;N/A;4;Los Remedios, Seville ·  1.25 km from city centre
 Hotel Abanico;4.2;N/A;3;Historical Center, Seville ·  0.51 km from city centre
 Melia Sevilla;4.2;N/A;4;Sur, Seville ·  1.18 km from city centre
 Room Select Tetuán;3.6;N/A;3;Historical Center, Seville ·  0.54 km from city centre
 Cristine Bedfor Sevilla Boutique Hotel;N/A;N/A;4;Historical Center, Seville ·  1.02 km from city centre
 Resitur;3.2;N/A;3;Triana, Seville ·  1.00 km from city centre
 Querencia de Sevilla Autograph Collection;4.7;€203;4;Historical Center, Seville ·  0.30 km from city centre
 Apartamentos Puerta del Sur;N/A;N/A;3;Bellavista-La Palmera, Seville ·  7.34 km from city centre
 Los Seises Sevilla, a Tribute Portfolio Hotel;3.9;€170;4;Historical Center, Seville ·  0.15 km from city centre
 Melia Lebreros;4.1;N/A;4;La Buhaira, Seville ·  1.71 km from city centre
 Hotel Porcel Torneo;3.6;N/A;4;Macarena Norte, Seville ·  3.08 km from city centre
 Hotel Doña Lina;3.6;N/A;2;Historical Center, Seville ·  0.21 km from city centre
 Hotel Mercer Sevilla 5 GL;4.9;N/A;5;Historical Center, Seville ·  0.51 km from city centre
 Hoteles del Sur;N/A;N/A;2;Historical Center, Seville ·  1.63 km from city centre
 Zenit Sevilla;4.1;N/A;4;Triana, Seville ·  1.16 km from city centre
 Welldone Quality - Crystal pool;4.5;N/A;1;Historical Center, Seville ·  0.58 km from city centre
 Monte Triana;4.5;N/A;4;Triana, Seville ·  1.41 km from city centre
 H10 Corregidor Boutique Hotel;4.4;N/A;3;Historical Center, Seville ·  1.11 km from city centre
 Hotel Monte Carmelo;4.6;N/A;4;Los Remedios, Seville ·  1.14 km from city centre
 Hotel Europa;4.1;N/A;1;Historical Center, Seville ·  0.35 km from city centre
 Vincci Molviedro;4.8;€150;4;Historical Center, Seville ·  0.58 km from city centre
 One Shot Conde Torrejón;4.1;N/A;4;Historical Center, Seville ·  1.21 km from city centre
 Pensión dulces sueños;3.5;N/A;1;Historical Center, Seville ·  0.48 km from city centre
 Hotel Convento La Gloria;3.8;N/A;3;Historical Center, Seville ·  0.16 km from city centre
 The Spot Central Hostel;4;N/A;3;Historical Center, Seville ·  0.43 km from city centre
 Hostal Hom Museo;4;N/A;3;Historical Center, Seville ·  1.05 km from city centre
 Plácido y Grata;4.9;N/A;4;Historical Center, Seville ·  0.83 km from city centre
 Noches en Triana;N/A;N/A;3;Triana, Seville ·  1.23 km from city centre
 Cool Sevilla Hotel;3.4;N/A;2;Historical Center, Seville ·  0.79 km from city centre
 El Rey Moro Hotel Boutique;4.6;N/A;4;Historical Center, Seville ·  0.22 km from city centre
 Petit Palace Vargas;4.7;N/A;2;Historical Center, Seville ·  1.05 km from city centre
 Hotel AACR Monteolivos;3.5;N/A;3;Distrito San Pablo-Santa Justa, Seville ·  2.02 km from city centre
 Un Patio en Santa Cruz;3.8;N/A;2;Historical Center, Seville ·  0.39 km from city centre
 Hotel Rey Alfonso X;4.4;N/A;4;Historical Center, Seville ·  0.35 km from city centre
 Hotel Kivir Adults Recommended, Historic City Center;4.9;N/A;4;Historical Center, Seville ·  0.79 km from city centre
 Hotel Fernando III;4.3;N/A;4;Historical Center, Seville ·  0.37 km from city centre
 Ocean Drive Sevilla;4.7;N/A;4;Historical Center, Seville ·  0.77 km from city centre
 Smartr Sevilla Las Dueñas;4.3;N/A;4;Historical Center, Seville ·  0.99 km from city centre
 Hostel A2C - Adults Only;3;N/A;2;Historical Center, Seville ·  1.39 km from city centre
 U-Sense Sevilla Centro;4.6;N/A;3;Historical Center, Seville ·  0.17 km from city centre
 Basic Hotel Doña Manuela;4.3;N/A;2;Historical Center, Seville ·  0.45 km from city centre
 Adriano Hotel Boutique Sevilla;4.6;N/A;3;Historical Center, Seville ·  0.47 km from city centre
 Hotel Gravina 51;5;N/A;4;Historical Center, Seville ·  0.83 km from city centre
 Welldone Antiquarium;4.7;N/A;3;Historical Center, Seville ·  0.95 km from city centre
 Mercer Residences Sevilla;N/A;N/A;4;Historical Center, Seville ·  0.91 km from city centre
 Occidental Sevilla Viapol;4.5;N/A;4;Sur, Seville ·  1.48 km from city centre
 Hotel Cetina Casa de las Telas, Sevilla;4.8;N/A;4;Historical Center, Seville ·  0.57 km from city centre
 Hotel Simón;4.1;N/A;1;Historical Center, Seville ·  0.27 km from city centre
 Petit Palace Santa Cruz;4.3;N/A;4;Historical Center, Seville ·  0.34 km from city centre
 Cavalta Boutique Hotel – Small Luxury Hotel;4.9;N/A;5;Triana, Seville ·  1.56 km from city centre
 Hotel Un Patio al Sur;4;N/A;2;Historical Center, Seville ·  0.81 km from city centre
 Mercer Plaza Sevilla 5 GL;4.9;N/A;5;Historical Center, Seville ·  0.28 km from city centre
 Hotel Murillo Reinoso;N/A;N/A;2;Historical Center, Seville ·  0.25 km from city centre
 Limehome Sevilla Calle Torcuato Luca de Tena;N/A;N/A;3;Bellavista-La Palmera, Seville ·  3.02 km from city centre
 Petit Palace Puerta de Triana;4.6;N/A;3;Historical Center, Seville ·  0.76 km from city centre
 Joya del Casco Boutique Hotel by Shiadu;4.9;N/A;4;Historical Center, Seville ·  0.19 km from city centre
 Hotel América Sevilla;4.5;N/A;4;Historical Center, Seville ·  0.92 km from city centre
 Zaida;4.1;N/A;1;Historical Center, Seville ·  0.87 km from city centre
 Hotel Giralda Center;4.7;N/A;4;Sur, Seville ·  0.98 km from city centre
 Albergue Inturjoven Sevilla - Hostel;3;N/A;2;Bellavista-La Palmera, Seville ·  2.47 km from city centre
 Smartr Puente de Triana;N/A;N/A;3;Seville ·  0.92 km from city centre
