Nombre;Puntuación;Precio;Estrellas;Direccion
Loft Loarre Estudio Premium Renovado 5 Pax;8,2;€ 129;3;Centro histórico, Zaragoza
Apartamentos Basilicus;8,6;€ 149;4;Centro histórico, Zaragoza
Suite Estébanes;9,0;€ 138;0;Centro histórico, Zaragoza
LA CASA DE INVITADOS;8,0;€ 89;0;Zaragoza
Apartamentos Zaragoza Suites El Pilar 3000;8,0;€ 114;3;Zaragoza
VALERIA-DREAMS Maestro luna 5,2º;8,7;€ 129;0;Centro histórico, Zaragoza
VTZ El Balcón de Rey Alfonso I;8,6;€ 97;4;Centro histórico, Zaragoza
Gran piso pleno centro. Plaza del Pilar + Desayuno;9,1;€ 121;3;Centro histórico, Zaragoza
Apartamento junto a la Basilica del Pilar;8,0;€ 130;4;Centro histórico, Zaragoza
Apartamento cerca del Pilar;8,5;€ 145;4;Arrabal, Zaragoza
El pilar a 3 minutos;8,7;€ 97;3;Centro histórico, Zaragoza
El pilar a 7 minutos;8,2;€ 108;3;Centro histórico, Zaragoza
LA CASA CONTENEDOR;7,8;€ 91;0;Zaragoza
Zaragoza y sus 2 catedrales;8,7;€ 98;4;Zaragoza
Apartamento cerca Plaza Pilar;8,9;€ 112;3;Zaragoza
El Primero G Zaragoza - Aljafería;9,2;€ 135;4;Zaragoza
Rooftop Alfonso;9,8;€ 300;4;Centro histórico, Zaragoza
Habitación para 2 o 3 personas noche 25;2,3;€ 23;0;Centro histórico, Zaragoza
Ático Alfonso Amplio Céntrico Renovado 10 Pax;9,4;€ 208;3;Centro histórico, Zaragoza
LOS SITIOS;8,7;€ 140;3;Centro histórico, Zaragoza
Origen Sacramento Deluxe;9,3;€ 185;0;Centro, Zaragoza
VALERIA-DREAMS Maestro Luna 3º;8,2;€ 129;4;Centro histórico, Zaragoza
Serena Arte;9,3;€ 187;4;Centro histórico, Zaragoza
VALERIA DREAMS-Mártires 3ºB;8,6;€ 110;3;Centro histórico, Zaragoza
Casa Goya Vírgenes;7,7;€ 179;3;Centro histórico, Zaragoza
La Parada;9,4;€ 189;4;Centro histórico, Zaragoza
El Rincon de las torres;6,8;€ 57;0;Zaragoza
Balloon House Casco Antiguo WiFi 4 Pax Nespresso;6,0;€ 199;4;Centro histórico, Zaragoza
Apartamento El Olivo;9,5;€ 120;3;Centro histórico, Zaragoza
Casa Cosmos Arcade WiFi 4 Huéspedes;8,4;€ 206;4;Centro histórico, Zaragoza
Villa Forest Ideal Familias Casco Histórico Balcón;7,1;€ 226;3;Centro histórico, Zaragoza
Ático Cierzo Nuevo Duplex Terraza WiFi 1 BR;8,0;€ 166;3;Centro histórico, Zaragoza
Suite Seo Centro 8 Pax Familiar 3 Dormitorios;8,1;€ 297;3;Centro histórico, Zaragoza
Habitación F;5,6;€ 48;0;Delicias, Zaragoza
Apartamento Zaragoza Plaza Europa;8,3;€ 224;4;Zaragoza
Apartamentos Zaragoza Reconquista 3000;8,7;€ 137;3;Centro histórico, Zaragoza
Casa Jesús PS5 Juegos Niños WiFi 6 Pax;8,9;€ 199;3;Zaragoza
Casa Augusta Renovada Centro Histórico 5 Pax;7,8;€ 187;3;Centro histórico, Zaragoza
La parada de San Domingo 2;9,9;€ 234;4;Centro histórico, Zaragoza
Apartamento Nolasco;8,8;€ 180;3;Centro histórico, Zaragoza
Atico Ordesa Barbacoa Terraza WiFi 4 Pax Ascensor;8,0;€ 203;4;Centro histórico, Zaragoza
Apartamento Boston;9,3;€ 450;0;Zaragoza
