Nombre,Puntuación,Precio,Estrellas,Llaves,Direccion,ciudad,web,Puntuacion
Catalonia Santa Justa,9.0,77 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Hotel Palacio del Marqués de la Gomera,8.8,80 €,4 estrellas,0 llaves,Osuna,Sevilla,Amimir,
CoolRooms Palacio Villapanés 5 GL,9.2,349 €,5 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Posada Pilatos,9.4,149 €,0 estrellas,4 llaves,Sevilla,Sevilla,Amimir,
Énfasis Hotel,10.0,53 €,2 estrellas,0 llaves,El Cuervo de Sevilla,Sevilla,Amimir,
Apartamentos Singular Pilatos,7.8,89 €,0 estrellas,3 llaves,Sevilla,Sevilla,Amimir,
Fernando III,9.3,127 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Hotel Colón Gran Meliá,9.1,333 €,5 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
El Rincon de las Descalzas,8.1,49 €,3 estrellas,0 llaves,Carmona,Sevilla,Amimir,
La Casa del Duque,8.3,75 €,3 estrellas,0 llaves,Osuna,Sevilla,Amimir,
Casa Palacio La Casa Blanca,9.6,148 €,0 estrellas,4 llaves,Sevilla,Sevilla,Amimir,
Hotel ELE Santa Bárbara Sevilla,8.9,56 €,2 estrellas,0 llaves,Castilleja de la Cuesta,Sevilla,Amimir,
Itaca Boutique Artemisa,8.9,78 €,3 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Hotel M.A. Sevilla Congresos,8.9,65 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Pensión Pérez Montilla,7.8,42 €,2 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Pension Azahar,7.1,45 €,2 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Slow Suites Setas,8.6,102 €,0 estrellas,4 llaves,Sevilla,Sevilla,Amimir,
Acetres 5,8.6,83 €,0 estrellas,4 llaves,Sevilla,Sevilla,Amimir,
Black Swan Hostel Sevilla,8.6,22 €,2 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Rey Alfonso X,9.2,119 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Hotel Barrio Nuevo,8.8,55 €,2 estrellas,0 llaves,Lebrija,Sevilla,Amimir,
Hostel A2C,7.6,18 €,2 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Hacienda De Oran,8.5,135 €,4 estrellas,0 llaves,Utrera,Sevilla,Amimir,
Novotel Sevilla,8.7,101 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Barceló Sevilla Renacimiento,8.7,128 €,5 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Pasarela,8.0,70 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
San Pablo,8.1,53 €,3 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Goya,8.6,54 €,2 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Petit Palace Santa Cruz,8.6,154 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Meliá Sevilla,9.2,135 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Hostal Don Julio,9.2,63 €,2 estrellas,0 llaves,Sanlúcar la Mayor,Sevilla,Amimir,
Singular Virgenes,7.8,125 €,0 estrellas,3 llaves,Sevilla,Sevilla,Amimir,
Cortijo Torre de la Reina,8.9,103 €,3 estrellas,0 llaves,Torre de la Reina,Sevilla,Amimir,
Hotel Vía Sevilla Cádiz Alojamiento Y Restaurante,8.1,40 €,1 estrellas,0 llaves,El Cuervo de Sevilla,Sevilla,Amimir,
