Nombre,Puntuacion,Precio,Estrellas,Llaves,Direccion,web,zona,Nombre_norm
Pasarela,8.0,70.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,pasarela
San Pablo,8.1,53.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,san pablo
Goya,8.6,54.0,2 estrellas,0 llaves,Sevilla,Amimir,Sevilla,goya
Petit Palace Santa Cruz,8.6,154.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,petit palace santa cruz
Meliá Sevilla,9.2,135.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,melia
Hostal Don Julio,9.2,63.0,2 estrellas,0 llaves,Sanlúcar la Mayor,Amimir,Sevilla,don julio
Singular Virgenes,7.8,125.0,0 estrellas,3 llaves,Sevilla,Amimir,Sevilla,singular virgenes
Cortijo Torre de la Reina,8.9,103.0,3 estrellas,0 llaves,Torre de la Reina,Amimir,Sevilla,cortijo torre reina
Hotel Vía Sevilla Cádiz Alojamiento Y Restaurante,8.1,40.0,1 estrellas,0 llaves,El Cuervo de Sevilla,Amimir,Sevilla,via cadiz alojamiento restaurante
Meliá Lebreros,9.3,133.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,melia lebreros
Don Juan,8.5,60.0,2 estrellas,0 llaves,El Coronil,Amimir,Sevilla,don juan
Overland Suites Catedral,8.9,128.0,0 estrellas,4 llaves,Sevilla,Amimir,Sevilla,overland catedral
Abanico,8.4,113.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,abanico
ibis Styles Sevilla Santa Justa,8.7,80.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,ibis styles santa justa
YIT Vereda Real,8.1,55.0,4 estrellas,0 llaves,Valencina de la Concepción,Amimir,Sevilla,yit vereda real
Apartamentos Metropolis,8.8,91.0,0 estrellas,4 llaves,Sevilla,Amimir,Sevilla,metropolis
Aguilas5 SevillaSuites,9.4,183.0,0 estrellas,4 llaves,Sevilla,Amimir,Sevilla,aguilas
Hotel Servilia,8.2,70.0,2 estrellas,0 llaves,Carmona,Amimir,Sevilla,servilia
Hotel Doña Blanca,8.3,73.0,2 estrellas,0 llaves,Sevilla,Amimir,Sevilla,doña blanca
Doña Manuela,8.9,95.0,2 estrellas,0 llaves,Sevilla,Amimir,Sevilla,doña manuela
Alcántara,8.6,77.0,2 estrellas,0 llaves,Sevilla,Amimir,Sevilla,alcantara
Hostal Albero By Eme Hoteles,7.8,69.0,2 estrellas,0 llaves,Sanlúcar la Mayor,Amimir,Sevilla,albero
Baco,7.3,68.0,2 estrellas,0 llaves,Sevilla,Amimir,Sevilla,baco
Rey Don Pedro Luxury Home,8.9,125.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,rey don pedro luxury home
Amadeus,9.3,299.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,amadeus
Pensión Javier,5.8,27.0,1 estrellas,0 llaves,Sevilla,Amimir,Sevilla,javier
Eurostars Sevilla Boutique,9.2,156.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,eurostars
Alcazar,6.6,70.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,alcazar
Casa Sevilla 1855 Suites by Época,8.9,145.0,0 estrellas,4 llaves,Sevilla,Amimir,Sevilla,casa
Simón Verde Hotel Apartamentos,7.5,55.0,0 estrellas,3 llaves,Mairena del Aljarafe,Amimir,Sevilla,simon verde
Apartamentos Boutique Vida,8.0,101.0,0 estrellas,3 llaves,Sevilla,Amimir,Sevilla,vida
Un Patio en Santa Cruz,8.0,97.0,2 estrellas,0 llaves,Sevilla,Amimir,Sevilla,un patio
MDD4 Health Experience Hotel,9.0,100.0,2 estrellas,0 llaves,Sevilla,Amimir,Sevilla,mdd health experience
Hospes Las Casas del Rey de Baeza,8.9,412.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,hospes las casas rey baeza
Plaza Santa Lucia,9.1,73.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,plaza santa lucia
Catalonia Hispalis,8.2,57.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,catalonia hispalis
Zenit Sevilla,9.4,107.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,zenit
Casual Sevilla de las Letras,8.7,68.0,2 estrellas,0 llaves,Sevilla,Amimir,Sevilla,casual las letras
NH Collection Sevilla,9.0,126.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,nh collection
Hotel Cetina Sevilla,9.2,111.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,cetina
