Nombre,Puntuacion,Precio,Estrellas,Llaves,Direccion,web,zona,Nombre_norm
Ibis Styles Zaragoza Ramiro I,7.9,77.0,3 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,ibis styles ramiro i
Castillo Bonavía,8.6,56.0,3 estrellas,0 llaves,Pedrola,Amimir,Zaragoza,castillo bonavia
Río Arga,8.8,73.0,2 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,rio arga
Hotel El Águila,8.0,57.0,3 estrellas,0 llaves,Utebo,Amimir,Zaragoza,aguila
B&B HOTEL Zaragoza Los Enlaces Estación,7.9,62.0,4 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,b&b enlaces estacion
Exe Zaragoza Wtc,8.7,77.0,3 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,exe wtc
Casa Rural Santa Agueda,9.9,51.0,0 estrellas,0 llaves,Jaraba,Amimir,Zaragoza,casa rural santa agueda
Apartamentos La Escapada,9.8,72.0,0 estrellas,0 llaves,Alhama de Aragón,Amimir,Zaragoza,escapada
Hostal Santa Águeda,9.1,64.0,0 estrellas,0 llaves,Tarazona,Amimir,Zaragoza,santa agueda
AZ Hotel El Príncipe,8.2,73.0,3 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,az principe
Apartamentos Zaragoza Gran Vía 3000,9.0,94.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,gran via
Suite Rural Carenas,9.5,189.0,0 estrellas,0 llaves,Carenas,Amimir,Zaragoza,rural carenas
Origen Sacramento Deluxe,9.5,185.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,origen sacramento deluxe
Casa Rural Alicia,9.5,300.0,0 estrellas,0 llaves,Villafranca de Ebro,Amimir,Zaragoza,casa rural alicia
Casa Rural Los Lilos,9.4,150.0,0 estrellas,0 llaves,Gotor,Amimir,Zaragoza,casa rural lilos
Apartemento Rural,9.4,70.0,0 estrellas,0 llaves,Lumpiaque,Amimir,Zaragoza,apartemento rural
Casa Rural Mundobriga,9.0,93.0,0 estrellas,0 llaves,Munébrega,Amimir,Zaragoza,casa rural mundobriga
