Nombre,Puntuacion,Precio,Estrellas,Llaves,Direccion,web,zona,Nombre_norm
Boutique Apartments Marsol Ibiza,9.0,133.0,4,,Santa Eulària des Riu,Booking,Ibiza,marsol
Hostal y Apartamentos Santa Eulalia,7.8,61.0,2,,Santa Eulària des Riu,Booking,Ibiza,santa eulalia
Hotel Rural Can Partit Adults Only-Ibiza,9.1,143.0,4,,Santa Inés,Booking,Ibiza,rural partit
azuLine Hostal Marino,8.3,60.0,2,,San Antonio,Booking,Ibiza,azuline marino
THB Los Molinos - Adults Only,8.6,96.0,4,,"Centro de Ibiza ciudad, Ibiza",Booking,Ibiza,thb molinos
azuLine Hotel M,8.7,140.0,4,,San Antonio,Booking,Ibiza,azuline m
Agroturismo Can Pere Sord,8.9,196.0,4,,Sant Joan de Labritja,Booking,Ibiza,pere sord
Apartamentos San Francisco,8.3,102.0,3,,San Antonio,Booking,Ibiza,san francisco
Can Vistabella Boutique Resort,9.4,227.0,4,,San Antonio,Booking,Ibiza,vistabella
Studio in Jesús,9.3,133.0,3,,Nuestra Señora de Jesús,Booking,Ibiza,studio in jesus
Hostal Flamingo by Nest,7.5,80.0,1,,Es Canar,Booking,Ibiza,flamingo
Hotel Puchet Ibiza,8.0,104.0,3,,San Antonio,Booking,Ibiza,puchet
Grand Hotel Palladium Santa Eulalia del Rio,9.0,970.0,5,,Santa Eulària des Riu,Booking,Ibiza,grand palladium santa eulalia rio
Can Caseres,9.4,3.042,4,,Cala Llenya,Booking,Ibiza,caseres
Villa Turquesa,9.0,751.0,4,,Es Cubells,Booking,Ibiza,turquesa
Villa Wave,,10.175,4,,Talamanca,Booking,Ibiza,wave
All Suite Ibiza Aparthotel,8.7,132.0,4,,San Antonio,Booking,Ibiza,all
Villa Roberto Ibiza,9.5,1.154,4,,Sant Josep de sa Talaia,Booking,Ibiza,roberto
Can Taika,,6.612,4,,Port d'es Torrent,Booking,Ibiza,taika
Beautiful Sea View Villa Minerva,,4.435,4,,Sant Josep,Booking,Ibiza,beautiful sea view minerva
Apartamentos Albertos,8.0,201.0,3,,Santa Eulària des Riu,Booking,Ibiza,albertos
Can Ribes Ibiza,9.6,3.626,4,,Sant Llorenç de Balàfia,Booking,Ibiza,ribes
Dalt Vila House,7.8,343.0,3,,"Dalt Vila, Ibiza",Booking,Ibiza,dalt vila house
Casa Cayama,,6.138,4,,Es Cubells,Booking,Ibiza,casa cayama
JAMES SIB33 - contemporary design villa with pool Cap Martinet Ibiza,,6.008,4,,Talamanca,Booking,Ibiza,james sib contemporary design
Villa Es Cuco,8.8,1.039,4,,Port d'es Torrent,Booking,Ibiza,es cuco
Can Vishnu,,7.747,4,,San José,Booking,Ibiza,vishnu
Apartamento Ciel Azul,,560.0,4,,Cala Llenya,Booking,Ibiza,ciel azul
Villa Amigo Near Las Dalias - Nice,,2.933,4,,Cala Llenya,Booking,Ibiza,amigo near las dalias nice
Ca Nostra Ibiza,9.5,2.583,4,,Port d'es Torrent,Booking,Ibiza,ca nostra
Can Pepe Pujolet,9.2,1.224,4,,Santa Gertrudis,Booking,Ibiza,pepe pujolet
Villa Lux Mar,,897.0,0,,Cala Llenya,Booking,Ibiza,lux mar
Can Lluc,9.0,2.362,4,,Can Furnet,Booking,Ibiza,lluc
Villa Beso,8.9,1.154,4,,San Antonio,Booking,Ibiza,beso
Can Palau,9.5,3.681,4,,Sant Llorenç de Balàfia,Booking,Ibiza,palau
La Diosa,,2.441,4,,Roca Llisa,Booking,Ibiza,diosa
JosepTalaia Villa Top-Class-Villa-Ibiza,,3.665,0,,Sant Josep,Booking,Ibiza,joseptalaia top class
Villa Cas Hespero,10.0,1.359,4,,San Antonio,Booking,Ibiza,cas hespero
Apt with terrace and pool Steps from the sandy beach,,283.0,4,,San Juan Bautista,Booking,Ibiza,apt
Can Andreuet,,3.472,4,,Playa Aguas Bancas,Booking,Ibiza,andreuet
Villa Sa Barda,8.7,983.0,4,,San Antonio,Booking,Ibiza,sa barda
Casita en Cala Llonga,8.0,1.627,4,,Cala Llonga,Booking,Ibiza,casita
Villa Ocean - Sunset Beach,8.5,939.0,4,,Bahía de San Antonio,Booking,Ibiza,ocean sunset beach
Can Marsá de Baix,8.8,2.702,4,,Santa Eulària des Riu,Booking,Ibiza,marsa baix
Velero Ariel,,1.306,0,,Sant Josep,Booking,Ibiza,velero ariel
'Bohemian Pearl' - artsy oasis in the North of Ibiza,,1.301,4,,Ibiza,Booking,Ibiza,'bohemian pearl' artsy oasis in the north of
Mirage Ibiza,,18.001,5,,Ibiza,Booking,Ibiza,mirage
Villa Olga - San Jose,7.8,1.261,3,,Sant Josep de sa Talaia,Booking,Ibiza,olga san jose
JAMES SIB16 - stunning spacious luxury villa in the heart of Ibiza Town,10.0,3.548,4,,Ibiza,Booking,Ibiza,james sib stunning spacious luxury in the heart of town
 THB Los Molinos Adults Only,4.1,93.0,4,,"Ibiza City Centre, Ibiza Town",Edreams,Ibiza,thb molinos
 Hotel Puchet Ibiza,4.0,76.0,3,,Sant Antoni de Portmany,Edreams,Ibiza,puchet
 Hotel Moon Dreams Paraíso,4.1,78.0,3,,Santa Eulalia del Rio,Edreams,Ibiza,moon dreams paraiso
 Hotel Vibra Marítimo,4.0,75.0,3,,"Ibiza City Centre, Ibiza Town",Edreams,Ibiza,vibra maritimo
 Cisne by Nest Hostel,,30.0,2,,Sant Antoni de Portmany,Edreams,Ibiza,cisne
 Aparthotel Duquesa Playa,4.6,84.0,4,,Santa Eulalia del Rio,Edreams,Ibiza,duquesa playa
 Hostal La Torre,4.0,57.0,1,,Sant Antoni de Portmany,Edreams,Ibiza,torre
 Core Ibiza Town Hotel,,113.0,4,,"Ibiza City Centre, Ibiza Town",Edreams,Ibiza,core town
 Hotel Royal Plaza,3.8,86.0,4,,"Ibiza City Centre, Ibiza Town",Edreams,Ibiza,royal plaza
 Eurostars Ibiza,4.1,96.0,4,,"Ibiza City Centre, Ibiza Town",Edreams,Ibiza,eurostars
 Ocean Drive Ibiza,4.2,65.0,4,,Ibiza Town,Edreams,Ibiza,ocean drive
 Hotel Florencio,3.8,90.0,3,,Sant Antoni de Portmany,Edreams,Ibiza,florencio
 Hostal Marí,4.3,60.0,2,,Sant Antoni de Portmany,Edreams,Ibiza,mari
 Pacha Hotel,4.4,175.0,4,,Ibiza Town,Edreams,Ibiza,pacha
 Hostal Sunset Ibiza,,48.0,3,,Sant Antoni de Portmany,Edreams,Ibiza,sunset
" The Standard, Ibiza",4.7,168.0,5,,"Ibiza City Centre, Ibiza Town",Edreams,Ibiza,the standard
 PAIISE Hotels,,119.0,3,,Sant Josep de sa Talaia,Edreams,Ibiza,paiise
 Apartamentos San Francisco,3.9,100.0,3,,Sant Antoni de Portmany,Edreams,Ibiza,san francisco
 Play Hotel Ibiza,,112.0,1,,"Ibiza City Centre, Ibiza Town",Edreams,Ibiza,play
 Apartamentos del Rey,3.5,162.0,2,,Sant Joan de Labritja,Edreams,Ibiza,rey
 Grand Hotel Palladium,4.5,984.0,5,,Santa Eulalia del Rio,Edreams,Ibiza,grand palladium
 Agroturismo Can Pere Sord,4.5,140.0,4,,Sant Joan de Labritja,Edreams,Ibiza,pere sord
 Boutique Apartments Marsol Ibiza,4.3,199.0,4,,Santa Eulalia del Rio,Edreams,Ibiza,marsol
 Hostal Santa Eulariaz,,603.0,0,,"Ibiza City Centre, Ibiza Town",Edreams,Ibiza,santa eulariaz
